,name,institution,rating_mean,reviews_count,language
142,Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,3.860215053763441,93.0,Inglés
143,Cursos en línea: modelo para armar,Universidad Nacional Autónoma de México,4.896551724137931,58.0,Español
144,Modern Art & Ideas,The Museum of Modern Art,4.780016792611251,1191.0,Inglés
145,"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,4.749771689497717,2190.0,Inglés
146,Essential Google Cloud Infrastructure: Foundation,Google Cloud,4.707152496626181,1480.0,Inglés
147,Introduction to Artificial Intelligence (AI),IBM,4.737288135593221,1298.0,Inglés
148,Dog Emotion and Cognition,Duke University,4.661259541984733,1048.0,Inglés
149,International Leadership and Organizational Behavior,Università Bocconi,4.826086956521739,460.0,Inglés
150,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,4.907216494845361,97.0,Inglés
151,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,4.794520547945205,657.0,Inglés
152,Digital Transformation,BCG,4.7994296577946765,1052.0,Inglés
153,Sequence Models,DeepLearning.AI,4.633866481223922,2876.0,Inglés
154,Devenir entrepreneur du changement,HEC Paris,4.745762711864407,177.0,Francés
155,Seeing Through Photographs,The Museum of Modern Art,4.77599142550911,933.0,Inglés
156,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,4.77906976744186,688.0,Inglés
157,Introduction to Search Engine Optimization,"University of California, Davis",4.585099939430648,1651.0,Inglés
158,Learn to Speak Korean 1,Yonsei University,4.896234309623431,1195.0,Inglés
159,Circular Economy - Sustainable Materials Management,Delft University of Technology,,,Inglés
160,Drug Development,University of California San Diego,4.520766773162939,313.0,Inglés
161,R Programming,Johns Hopkins University,4.245404868355688,4023.0,Inglés
162,Economics of Money and Banking,Columbia University,4.887719298245614,285.0,Inglés
163,Chinese for Beginners,Peking University,4.796844181459566,3549.0,Inglés
164,Grammar and Punctuation,"University of California, Irvine",4.75310008857396,4515.0,Inglés
165,Japanese for beginners 1,Saint Petersburg State University,3.611111111111111,36.0,Inglés
166,Introduction to English Common Law,University of London,4.8392156862745095,255.0,Inglés
167,Introduction to Dental Medicine,University of Pennsylvania,4.8530805687203795,211.0,Inglés
168,Fundamentals of Reinforcement Learning,Alberta Machine Intelligence Institute,4.689655172413793,377.0,Inglés
169,The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",4.619047619047619,504.0,Inglés
170,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,4.633333333333334,90.0,Inglés
171,Behavioral Finance,Duke University,4.124386252045826,611.0,Inglés
172,"Sequences, Time Series and Prediction",DeepLearning.AI,4.453815261044177,498.0,Inglés
173,Supply Chain Logistics,Rutgers the State University of New Jersey,4.710656316160903,1417.0,Inglés
174,Project Execution,"University of California, Irvine",3.7222222222222223,18.0,Inglés
175,Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,4.789231779382797,1523.0,Español
176,Microeconomics Principles,University of Illinois at Urbana-Champaign,4.8293333333333335,375.0,Inglés
177,Creative Writing: The Craft of Plot,Wesleyan University,4.648854961832061,1048.0,Inglés
178,Astronomy: Exploring Time and Space,University of Arizona,4.883544303797469,790.0,Inglés
179,Oil & Gas Industry Operations and Markets,Duke University,4.823214285714286,1120.0,Inglés
180,Design Thinking for Innovation,University of Virginia,4.667032364234778,1823.0,Inglés
