,title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,precio_certificado
470,"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源",21291,Self-paced on your time,Tsinghua University,Introductory,Humanities,Inglés,"Inglés, Chino",1–3 hours per week,16 Weeks,49
471,"Cosmic Rays, Dark Matter, and the Mysteries of the Universe",12888,Self-paced on your time,Waseda University,Intermediate,Physics,Inglés,Inglés,3–5 hours per week,4 Weeks,49
472,Macroeconomic Diagnostics,23408,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,Inglés,Inglés,6–8 hours per week,6 Weeks,25
473,BioStatistics,14937,Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,Inglés,Inglés,5–10 hours per week,8 Weeks,79
474,Results-Based Project Management: Monitoring and Evaluation,32810,Self-paced on your time,Wits University,Intermediate,Business & Management,Inglés,Inglés,3–4 hours per week,8 Weeks,199
475,Estrategias y estilos de negociación,12639,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,Inglés,5–8 hours per week,4 Weeks,149
476,Políticas efectivas de desarrollo infantil,64387,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,Español,"Inglés, Español, Portugués",4–5 hours per week,10 Weeks,25
477,Alzheimer’s Disease & Dementia Care,5763,Self-paced on your time,Salisbury University-University System of Maryland,Intermediate,Medicine,Inglés,Inglés,2–3 hours per week,5 Weeks,49
478,Understanding Classroom Interaction,27114,Self-paced on your time,University of Pennsylvania,Introductory,Education & Teacher Training,Inglés,Inglés,2–3 hours per week,5 Weeks,49
479,Sign Language Science: Emergence and Evolution of Sign Language,8313,Self-paced on your time,Georgetown University,Introductory,Language,Inglés,Inglés,3–5 hours per week,4 Weeks,99
480,International Humanitarian Law,31419,Self-paced on your time,Université catholique de Louvain,Advanced,Law,Inglés,Inglés,4–12 hours per week,12 Weeks,150
481,"Educación de calidad para todos: equidad, inclusión y atención a la diversidad",25111,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Education & Teacher Training,Español,Español,3–5 hours per week,6 Weeks,49
482,Introduction to Astrophysics,20802,Self-paced on your time,École polytechnique fédérale de Lausanne,Introductory,Physics,Inglés,Inglés,3–4 hours per week,7 Weeks,139
483,Epidemics I,10618,Self-paced on your time,University of Hong Kong,Introductory,Medicine,Inglés,"Inglés, Chino, Chino",2–3 hours per week,5 Weeks,139
484,Introducción a la genética y la evolución,15297,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Biology & Life Sciences,Español,Español,2–3 hours per week,3 Weeks,49
485,Fundamentals of Macroeconomics,17820,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Economics & Finance,Inglés,Inglés,2–3 hours per week,6 Weeks,129
486,"Blockchain and FinTech: Basics, Applications, and Limitations",22011,Self-paced on your time,University of Hong Kong,Introductory,Computer Science,Inglés,"Inglés, Chino",3–4 hours per week,6 Weeks,199
487,Molecular Biology - Part 2: Transcription and Transposition,18168,Self-paced on your time,Massachusetts Institute of Technology,Advanced,Biology & Life Sciences,Inglés,"Inglés, Chino",4–8 hours per week,7 Weeks,99
488,"One Planet, One Ocean",12166,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,Inglés,Inglés,4–6 hours per week,6 Weeks,49
489,Reputation Management in a Digital World,39672,Self-paced on your time,Curtin University,Intermediate,Communication,Inglés,Inglés,3–4 hours per week,6 Weeks,99
490,Google Ads: publicidad efectiva,12084,Self-paced on your time,Universidad Galileo,Introductory,Business & Management,Español,Español,2–4 hours per week,5 Weeks,49
491,Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,14673,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Engineering,Español,Español,3–4 hours per week,4 Weeks,50
492,Computer Vision Fundamentals with Watson and OpenCV,7032,Self-paced on your time,IBM,Introductory,Computer Science,Inglés,Inglés,7–14 hours per week,14 Weeks,99
