,title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,precio_certificado
493,Japanese Business Management,14852,Self-paced on your time,Waseda University,Intermediate,Business & Management,Inglés,Inglés,3–5 hours per week,4 Weeks,129
494,Introduction to Cloud Computing,0,Self-paced on your time,IBM,Introductory,Computer Science,Inglés,Inglés,1–2 hours per week,6 Weeks,49
495,Fundamentos de logística,7397,Self-paced on your time,LOGYCA,Introductory,Engineering,Español,Español,4–8 hours per week,5 Weeks,29
496,Sustainable Urban Development,45760,Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Introductory,Social Sciences,Inglés,Inglés,4–6 hours per week,7 Weeks,50
497,Introduction to Biomedical Imaging,56485,Self-paced on your time,The University of Queensland,Introductory,Medicine,Inglés,Inglés,4–5 hours per week,12 Weeks,99
498,Introducción a la programación en Java: empezando a programar,23321,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Computer Science,Español,Español,7–10 hours per week,5 Weeks,49
499,"Circuits and Electronics 2: Amplification, Speed, and Delay",9665,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,Inglés,"Inglés, Chino",7–9 hours per week,5 Weeks,169
500,China’s Political and Intellectual Foundations: From Sage Kings to Confucius,47083,Self-paced on your time,Harvard University,Introductory,History,Inglés,"Inglés, Chino",1–3 hours per week,15 Weeks,139
501,Introduction to DevOps and Site Reliability Engineering,8697,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,Inglés,Inglés,1–2 hours per week,10 Weeks,149
502,SQL aplicado en la  ciencia de datos,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,Español,2–4 hours per week,4 Weeks,39
503,Sign Language Science: Factors Contributing to Nature Structure,0,Self-paced on your time,Georgetown University,Introductory,Language,Inglés,Inglés,3–5 hours per week,4 Weeks,99
504,Gender and Intersectionality,0,Self-paced on your time,The University of Iceland,Introductory,Humanities,Inglés,Inglés,2–5 hours per week,6 Weeks,50
505,Digital Transformation in Business,10118,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Business & Management,Inglés,Inglés,8–10 hours per week,7 Weeks,214
506,Designing and Creating Trousers,7544,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Design,Inglés,Inglés,3–5 hours per week,5 Weeks,99
507,Introducción a la teoría política: conceptos y grandes pensadores,11741,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,Español,Español,4–6 hours per week,7 Weeks,59
508,"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",11426,Self-paced on your time,SDG Academy,Intermediate,Social Sciences,Inglés,"Inglés, Русский",2–4 hours per week,11 Weeks,49
509,Industry 4.0: How to Revolutionize your Business,28404,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Business & Management,Inglés,Inglés,6–8 hours per week,6 Weeks,50
510,Desafíos y oportunidades en la economía digital,47792,Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Español,Español,2–3 hours per week,10 Weeks,25
511,Pensamiento crítico: toma de decisiones razonadas,16853,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,Español,5–8 hours per week,4 Weeks,149
512,"MathTrackX: Polynomials, Functions and Graphs",0,Self-paced on your time,University of Adelaide,Introductory,Math,Inglés,Inglés,3–6 hours per week,4 Weeks,79
513,Sustainable Food Security: Crop Production,35367,Self-paced on your time,Wageningen University & Research,Intermediate,Biology & Life Sciences,Inglés,Inglés,6–8 hours per week,6 Weeks,49
514,Network and Security Foundations,7301,Self-paced on your time,Western Governors University,Introductory,Computer Science,Inglés,Inglés,9–10 hours per week,8 Weeks,299
515,Cannabis Cultivation and Processing,7419,Self-paced on your time,Doane University,Introductory,Environmental Studies,Inglés,Inglés,5–10 hours per week,3 Weeks,179
516,"Data, Models and Decisions in Business Analytics",36289,Instructor-led on a course schedule,Columbia University,Advanced,Business & Management,Inglés,,8–10 hours per week,12 Weeks,249
517,Data Structures Fundamentals,42381,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,Inglés,Inglés,8–10 hours per week,6 Weeks,99
518,Shaping Work of the Future,22246,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,Inglés,Inglés,4–5 hours per week,8 Weeks,49
519,Introducción a la robótica e industria 4.0,7056,Self-paced on your time,Universidades Anáhuac,Introductory,Computer Science,Español,Español,4–5 hours per week,3 Weeks,49
520,Fighting for Equality: 1950–2018,9274,Self-paced on your time,Columbia University,Intermediate,History,Inglés,Inglés,2–3 hours per week,10 Weeks,50
521,"Design Thinking: Ideation, Iteration and Communication",14629,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,Inglés,Inglés,8–12 hours per week,6 Weeks,299
522,Negotiation Strategies and Styles,0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,Inglés,Inglés,5–8 hours per week,4 Weeks,149
523,Crear música con tecnología,10961,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,Español,3–5 hours per week,6 Weeks,49
524,Análisis de datos: Diseño y Visualización de Tableros,18368,Self-paced on your time,Delft University of Technology,Intermediate,Computer Science,Español,"Inglés, Español",4–6 hours per week,8 Weeks,49
525,Comunicación estratégica: gestión de crisis e imagen pública,7017,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Communication,Español,Español,2–4 hours per week,4 Weeks,49
526,"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",14052,Self-paced on your time,University of Adelaide,Intermediate,Business & Management,Inglés,Inglés,2–3 hours per week,4 Weeks,199
527,Unlocking Information Security: Part II,6426,Self-paced on your time,IsraelX-Tel Aviv University,Intermediate,Computer Science,Inglés,"Árabe, Inglés, עברית",4–6 hours per week,6 Weeks,149
528,Human Rights Defenders,27338,Self-paced on your time,Amnesty International,Introductory,Social Sciences,Inglés,Inglés,4–5 hours per week,4 Weeks,49
529,Product Design: The Delft Design Approach,87539,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,Inglés,Inglés,6–8 hours per week,7 Weeks,79
530,Introduction to Psychology | 心理学概论,30731,Self-paced on your time,Tsinghua University,Introductory,Philosophy & Ethics,Chino,Inglés,3–5 hours per week,13 Weeks,139
531,Circuits and Electronics 3: Applications,9347,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,Inglés,"Inglés, Chino",8–10 hours per week,7 Weeks,169
532,Vaccines: from smallpox to technologies of the future,6166,Self-paced on your time,KU Leuven University,Intermediate,Medicine,Inglés,Inglés,3–5 hours per week,6 Weeks,49
533,Le management,6273,Self-paced on your time,HEC Montréal,Introductory,Business & Management,Francés,Francés,2–3 hours per week,5 Weeks,149
534,Circular Economy for a Sustainable Built Environment,8032,Self-paced on your time,Delft University of Technology,Intermediate,Architecture,Inglés,Inglés,3–5 hours per week,6 Weeks,50
535,Agile Innovation and Problem Solving Skills,12667,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,Inglés,Inglés,2–3 hours per week,4 Weeks,199
536,International Investment Law,23335,Instructor-led on a course schedule,Université catholique de Louvain,Advanced,Law,Inglés,Inglés,6–8 hours per week,10 Weeks,150
537,Animation and CGI Motion,36827,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,Inglés,Inglés,8–10 hours per week,12 Weeks,249
538,Terrorism and Counterterrorism,28580,Self-paced on your time,Georgetown University,Introductory,Humanities,Inglés,Inglés,8–10 hours per week,7 Weeks,49
539,Découvrir le marketing,30030,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Business & Management,Francés,Francés,3–5 hours per week,10 Weeks,150
540,Solar Energy: Photovoltaic (PV) Energy Conversion,38041,Instructor-led on a course schedule,Delft University of Technology,Advanced,Engineering,Inglés,Inglés,10–11 hours per week,12 Weeks,250
541,Introduction to Actuarial Science,52667,Self-paced on your time,Australian National University,Introductory,Data Analysis & Statistics,Inglés,Inglés,2–4 hours per week,8 Weeks,49
542,PredictionX: Lost Without Longitude,9114,Self-paced on your time,Harvard University,Introductory,History,Inglés,Inglés,2–5 hours per week,1 Weeks,49
543,Information Technology Foundations,6388,Self-paced on your time,Western Governors University,Introductory,Computer Science,Inglés,Inglés,9–10 hours per week,6 Weeks,399
544,Introducción a la Inteligencia Artificial de Watson,0,Self-paced on your time,IBM,Introductory,Computer Science,Español,Español,4–8 hours per week,8 Weeks,49
545,Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,16013,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,Inglés,Inglés,4–5 hours per week,5 Weeks,125
546,Instructional Design and Technology: Learning Theories,21296,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Intermediate,Education & Teacher Training,Inglés,Inglés,8–10 hours per week,8 Weeks,299
547,"Algorithms: Design and Analysis, Part 2",0,Self-paced on your time,Stanford University,Intermediate,Computer Science,Inglés,Inglés,2–4 hours per week,6 Weeks,149
548,The Math of Data Science: Linear Algebra,6746,Self-paced on your time,Rice University,Intermediate,Math,Inglés,Inglés,6–8 hours per week,8 Weeks,159
549,Introducción al quirófano,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Medicine,Español,Español,3–4 hours per week,6 Weeks,49
550,The Hardware of a Quantum Computer,20052,Self-paced on your time,Delft University of Technology,Intermediate,Physics,Inglés,Inglés,6–8 hours per week,6 Weeks,79
551,Grabar y mezclar música,10856,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,Español,3–5 hours per week,4 Weeks,49
552,Leadership focused on Human Flourishing,0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,Inglés,Inglés,5–8 hours per week,4 Weeks,149
553,Automata Theory,0,Self-paced on your time,Stanford University,Advanced,Computer Science,Inglés,Inglés,5–10 hours per week,7 Weeks,129
554,¡Conceptos básicos de Python para Data Science!,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,Español,2–5 hours per week,5 Weeks,49
555,Herramientas para el Análisis de Big Data,8118,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,Español,3–5 hours per week,4 Weeks,49
556,Foundations of Central Bank Law,6169,Self-paced on your time,The International Monetary Fund,Intermediate,Law,Inglés,Inglés,2–6 hours per week,6 Weeks,25
557,C Programming: Modular Programming and Memory Management,18690,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,Inglés,Inglés,2–4 hours per week,7 Weeks,49
558,Enseñanza temprana de matemáticas y ciencias,8250,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,Español,Español,1–2 hours per week,10 Weeks,25
559,Entrepreneurship 102: What can you do for your customer?,11275,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,Inglés,Inglés,2–4 hours per week,10 Weeks,49
560,Italian Language and Culture: Advanced (2019-2020),24667,Self-paced on your time,Wellesley College,Advanced,Language,Italiano,Italiano,3–5 hours per week,12 Weeks,49
561,Introduction to Marketing,0,Self-paced on your time,The University of Edinburgh,Introductory,Business & Management,Inglés,Inglés,2–3 hours per week,6 Weeks,149
562,Origins of the Human Mind,11812,Self-paced on your time,Kyoto University,Introductory,Science,Inglés,Inglés,2–3 hours per week,5 Weeks,49
563,Introduction to Geometry,61824,Self-paced on your time,SchoolYourself,Introductory,Math,Inglés,Inglés,4–6 hours per week,14 Weeks,50
564,The Future of Work: Preparing for Disruption,43125,Self-paced on your time,World Bank Group,Introductory,Economics & Finance,Inglés,"Árabe, Inglés, Español, Francés, Русский, Chino",3–5 hours per week,5 Weeks,5
565,Clinical Reasoning Process,5367,Self-paced on your time,Université de Montréal,Introductory,Medicine,Inglés,Inglés,2–4 hours per week,6 Weeks,149
566,Datos para la efectividad de las políticas públicas,80425,Self-paced on your time,Inter-American Development Bank,Introductory,Data Analysis & Statistics,Español,Español,4–5 hours per week,10 Weeks,25
567,Media Law,7253,Instructor-led on a course schedule,New York University,Introductory,Art & Culture,Inglés,Inglés,8–10 hours per week,14 Weeks,249
568,Líderes para la Gestión en Seguridad Ciudadana y Justicia,12826,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,Español,Español,4–5 hours per week,10 Weeks,25
569,"Diseña, fabrica y programa tu propio robot",25024,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Engineering,Español,Español,8–10 hours per week,6 Weeks,75
570,Pivoting to Online Teaching: Research and Practitioner Perspectives,5289,Self-paced on your time,University of Texas at Arlington,Introductory,Education & Teacher Training,Inglés,Inglés,3–5 hours per week,6 Weeks,139
571,Circular Economy: An Interdisciplinary Approach,10281,Self-paced on your time,Wageningen University & Research,Advanced,Business & Management,Inglés,Inglés,16–24 hours per week,6 Weeks,149
572,Calculus 1B: Integration,44669,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Math,Inglés,Inglés,6–10 hours per week,15 Weeks,100
573,Algorithmic Design and Techniques,40620,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,Inglés,Inglés,8–10 hours per week,6 Weeks,99
574,Drinking Water Treatment,51918,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,Inglés,Inglés,6–8 hours per week,7 Weeks,50
575,Fundamentos de información financiera y contable,7789,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,Español,5–7 hours per week,5 Weeks,49
576,Les principes de la finance,44037,Self-paced on your time,Université catholique de Louvain,Intermediate,Business & Management,Francés,Francés,4–7 hours per week,13 Weeks,150
577,Music Technology Foundations,34550,Self-paced on your time,University of Adelaide,Introductory,Computer Science,Inglés,Inglés,2–3 hours per week,6 Weeks,169
578,The Entrepreneurial Mindset,31077,Self-paced on your time,Babson College,Introductory,Business & Management,Inglés,Inglés,4–6 hours per week,6 Weeks,149
579,"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",26453,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,Inglés,Inglés,2–3 hours per week,5 Weeks,49
580,Risk Management and Credit Principles,9028,Self-paced on your time,NYIF,Advanced,Economics & Finance,Inglés,Inglés,2–3 hours per week,6 Weeks,199
581,Steps in Japanese for Beginners1 Part3,6169,Self-paced on your time,Waseda University,Introductory,Language,Inglés,Inglés,3–5 hours per week,5 Weeks,99
582,Structural Materials: Selection and Economics,9752,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Engineering,Inglés,Inglés,2–3 hours per week,3 Weeks,50
583,Algorithm Design and Analysis,39137,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,Inglés,Inglés,6–8 hours per week,4 Weeks,149
584,Estructuras de Datos con Python,0,Self-paced on your time,The University of Michigan,Introductory,Computer Science,Español,Español,2–4 hours per week,7 Weeks,49
585,Mandarin Chinese for Business,12384,Self-paced on your time,MandarinX,Intermediate,Language,Inglés,Inglés,4–10 hours per week,6 Weeks,149
586,Bases Matemáticas: Números y terminología,26060,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Math,Español,Español,3–4 hours per week,4 Weeks,50
587,Arab-Islamic History: From Tribes to Empires,17321,Self-paced on your time,IsraelX-Tel Aviv University,Introductory,Humanities,Inglés,Inglés,3–4 hours per week,8 Weeks,149
588,Human-Computer Interaction I: Fundamentals & Design Principles,9010,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,Inglés,Inglés,5–6 hours per week,6 Weeks,99
589,Modeling and simulation of multibody systems,0,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Engineering,Inglés,Inglés,10–11 hours per week,14 Weeks,50
590,The Science of Parenting,37538,Self-paced on your time,"The University of California, San Diego",Introductory,Social Sciences,Inglés,Inglés,3–5 hours per week,5 Weeks,49
591,Inclusive Teaching: Supporting All Students in the College Classroom,9899,Self-paced on your time,Columbia University,Introductory,Education & Teacher Training,Inglés,Inglés,2–3 hours per week,6 Weeks,49
592,Analytics for Decision Making,31031,Self-paced on your time,Babson College,Introductory,Business & Management,Inglés,Inglés,4–6 hours per week,4 Weeks,249
593,Principios de Análisis e Instrumentos Financieros,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,Español,5–7 hours per week,5 Weeks,49
594,Energy Principles and Renewable Energy,19520,Instructor-led on a course schedule,The University of Queensland,Advanced,Energy & Earth Sciences,Inglés,Inglés,10–12 hours per week,14 Weeks,375
595,DNA: Biology’s Genetic Code,35162,Self-paced on your time,Rice University,Intermediate,Biology & Life Sciences,Inglés,Inglés,4–6 hours per week,6 Weeks,169
596,Music For Wellness,19728,Self-paced on your time,Berklee College of Music,Introductory,Humanities,Inglés,Inglés,3–5 hours per week,4 Weeks,49
597,Mining Massive Datasets,5311,Self-paced on your time,Stanford University,Advanced,Computer Science,Inglés,Inglés,5–10 hours per week,7 Weeks,149
598,Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,25041,Self-paced on your time,Tokyo Institute of Technology,Introductory,Engineering,Inglés,"Inglés, Chino",2–3 hours per week,4 Weeks,50
599,A travel by Spanish America: Spanish for beginners,0,Self-paced on your time,Universidad del Rosario,Introductory,Language,Español,Español,4–6 hours per week,4 Weeks,49
600,Introducción a la Inteligencia Artificial,11184,Self-paced on your time,Universidades Anáhuac,Introductory,Computer Science,Español,Español,4–5 hours per week,4 Weeks,49
601,Introducción a la Inteligencia Artificial: Principales Algoritmos,0,Self-paced on your time,Universidad Galileo,Introductory,Computer Science,Español,Español,4–5 hours per week,4 Weeks,49
602,Digital Security and Human Rights,11443,Self-paced on your time,Amnesty International,Introductory,Social Sciences,Inglés,Inglés,1–2 hours per week,3 Weeks,49
603,Critical thinking: reasoned decision making,6923,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Inglés,Inglés,5–8 hours per week,4 Weeks,149
604,Introduction to the Internet of Things,7581,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Electronics,Inglés,Inglés,5–6 hours per week,6 Weeks,50
605,Trading - Fundamentals of Technical Analysis,0,Self-paced on your time,NYIF,Introductory,Economics & Finance,Inglés,Inglés,2–3 hours per week,6 Weeks,199
606,Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,20261,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Medicine,Español,Español,3–5 hours per week,6 Weeks,49
607,Design Thinking: Empathizing to Understand the Problem,13340,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,Inglés,Inglés,8–12 hours per week,6 Weeks,299
608,Storytelling in the Workplace,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,Inglés,Inglés,4–6 hours per week,3 Weeks,199
609,Marketing Analytics: Price and Promotion Analytics,41021,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,Inglés,Inglés,5–7 hours per week,4 Weeks,249
610,Implementation of Data Structures,27761,Self-paced on your time,IITBombay,Intermediate,Computer Science,Inglés,Inglés,6–8 hours per week,6 Weeks,149
611,Activism and Citizen Journalism through Media,7460,Self-paced on your time,Wits University,Introductory,Communication,Inglés,Inglés,2–3 hours per week,4 Weeks,49
612,Electric and Conventional Vehicles,22089,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,Inglés,Inglés,10–20 hours per week,6 Weeks,249
613,Big Data Fundamentals,40106,Self-paced on your time,University of Adelaide,Intermediate,Computer Science,Inglés,Inglés,8–10 hours per week,10 Weeks,199
614,Sustainable Food Security: The value of systems thinking,26600,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,Inglés,Inglés,8–10 hours per week,6 Weeks,49
615,Knowledge Management and Big Data in Business,69064,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Business & Management,Inglés,Inglés,6–8 hours per week,8 Weeks,50
616,Uso efectivo del tiempo,6409,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Economics & Finance,Español,Español,6–8 hours per week,6 Weeks,49
617,C Programming: Pointers and Memory Management,19171,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,Inglés,Inglés,2–4 hours per week,7 Weeks,49
618,Astrophysics: The Violent Universe,65711,Self-paced on your time,Australian National University,Intermediate,Physics,Inglés,Inglés,2–4 hours per week,10 Weeks,50
619,Landscape Ecology,8644,Self-paced on your time,ETH Zurich,Intermediate,Environmental Studies,Inglés,Inglés,2–4 hours per week,14 Weeks,50
620,IoT Programming and Big Data,21591,Self-paced on your time,Curtin University,Introductory,Computer Science,Inglés,Inglés,4–6 hours per week,5 Weeks,199
621,AWS: Getting Started with Cloud Security,8192,Self-paced on your time,Amazon Web Services,Introductory,Computer Science,Inglés,Inglés,2–4 hours per week,4 Weeks,49
622,Introducción a la gravedad cuántica de lazos,7360,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,"Inglés, Español",5–7 hours per week,5 Weeks,50
623,Introduction to the Music Business,46607,Self-paced on your time,Berklee College of Music,Introductory,Business & Management,Inglés,Inglés,2–4 hours per week,6 Weeks,49
624,Introducción a la programación en C: Tipos de datos y estructuras,13480,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,Español,2–4 hours per week,4 Weeks,49
625,Visualización de Datos y Storytelling,5980,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,Español,3–5 hours per week,4 Weeks,49
626,Negociación exitosa: Estrategias y habilidades esenciales (en español),0,Self-paced on your time,The University of Michigan,Introductory,Business & Management,Español,Español,2–4 hours per week,7 Weeks,49
627,"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",10488,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,Inglés,"Inglés, Русский",3–5 hours per week,7 Weeks,49
628,Macroeconomics - The Basics,0,Self-paced on your time,Doane University,Introductory,Economics & Finance,Inglés,Inglés,10–18 hours per week,8 Weeks,79
629,Fundamentals of Financial Mathematics and Capital Budgeting,5410,Self-paced on your time,NYIF,Introductory,Economics & Finance,Inglés,Inglés,1–2 hours per week,4 Weeks,99
630,Gestión participativa: motivación y liderazgo organizacional,23441,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Business & Management,Español,Español,3–4 hours per week,8 Weeks,79
631,Herramientas de ciencia de datos: uso práctico,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,Español,3–7 hours per week,7 Weeks,39
632,Bienestar para el desarrollo personal y profesional,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Health & Safety,Español,"Inglés, Español",5–7 hours per week,5 Weeks,29
633,Energía eléctrica: conceptos y principios básicos,9762,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Engineering,Español,Español,4–5 hours per week,7 Weeks,49
634,Market Segmentation Analysis,17055,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,Inglés,Inglés,6–8 hours per week,5 Weeks,99
635,Pensamento crítico: tomada de decisões fundamentadas,0,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Portugués,Portugués,5–8 hours per week,4 Weeks,149
636,AP® English Literature & Composition – Part 2: Poems,5719,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,Inglés,Inglés,4–5 hours per week,7 Weeks,49
637,"Electrical, Optical & Magnetic Materials and Devices",16905,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Engineering,Inglés,Inglés,8–12 hours per week,16 Weeks,150
638,Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),0,Self-paced on your time,University of Hong Kong,Introductory,Medicine,Inglés,"Inglés, Francés, Chino, Chino",2–3 hours per week,4 Weeks,99
639,How to Design a Successful Business Model,33656,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,Inglés,"Alemán, Inglés, Español, Francés",2–4 hours per week,8 Weeks,99
640,Ecodesign for Cities and Suburbs,28472,Self-paced on your time,University of British Columbia,Introductory,Environmental Studies,Inglés,,4–5 hours per week,6 Weeks,99
641,Agile Software Development,37158,Self-paced on your time,ETH Zurich,Introductory,Computer Science,Inglés,Inglés,2–3 hours per week,6 Weeks,50
642,Diseño de sistemas de información gerencial para intranet con Microsoft Access,9144,Self-paced on your time,Universidad del Rosario,Intermediate,Computer Science,Español,Español,6–10 hours per week,4 Weeks,49
643,Essentials of Program Strategy and Evaluation,0,Self-paced on your time,Stanford University,Introductory,Philanthropy,Inglés,Inglés,5–10 hours per week,4 Weeks,50
644,Gestão de Projetos de Desenvolvimento,28337,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Portugués,Portugués,3–4 hours per week,10 Weeks,49
645,Innovation: From Plan to Product,12918,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,Inglés,Inglés,8–10 hours per week,10 Weeks,249
646,Introduction to Database Queries,0,Self-paced on your time,New York University,Introductory,Computer Science,Inglés,Inglés,6–8 hours per week,5 Weeks,166
647,Climate Change: Carbon Capture and Storage,10551,Self-paced on your time,The University of Edinburgh,Introductory,Engineering,Inglés,Inglés,2–3 hours per week,5 Weeks,49
648,Reservoir Geomechanics,5280,Self-paced on your time,Stanford University,Introductory,Energy & Earth Sciences,Inglés,Inglés,3–6 hours per week,10 Weeks,129
649,Fundamentos de administración estratégica,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Business & Management,Español,Español,5–7 hours per week,5 Weeks,49
650,IoT System Architecture: Design and Evaluation,5914,Self-paced on your time,Waseda University,Introductory,Computer Science,Inglés,Inglés,3–5 hours per week,3 Weeks,99
651,Noongar Language and Culture,10858,Self-paced on your time,Curtin University,Introductory,Language,Inglés,Inglés,2–3 hours per week,6 Weeks,139
652,Sorting Truth From Fiction: Civic Online Reasoning,0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Education & Teacher Training,Inglés,Inglés,2–4 hours per week,4 Weeks,49
653,Sustainable Food Security: Food Access,18943,Self-paced on your time,Wageningen University & Research,Introductory,Social Sciences,Inglés,Inglés,6–8 hours per week,6 Weeks,49
654,Bases Matemáticas: Integrales,23703,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,Español,4–5 hours per week,5 Weeks,50
655,Epidemics II,8565,Self-paced on your time,University of Hong Kong,Introductory,Medicine,Inglés,"Inglés, Chino, Chino",2–3 hours per week,3 Weeks,139
656,Derechos humanos: Los derechos de las personas refugiadas,28398,Self-paced on your time,Amnesty International,Introductory,Humanities,Español,Español,3–5 hours per week,3 Weeks,49
657,Sign Language Science: Factors Contributing to Natural Learning,0,Self-paced on your time,Georgetown University,Introductory,Language,Inglés,Inglés,3–5 hours per week,4 Weeks,99
658,Big Data Analytics,43009,Self-paced on your time,University of Adelaide,Intermediate,Computer Science,Inglés,Inglés,8–10 hours per week,10 Weeks,199
659,"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",6594,Self-paced on your time,Imperial College London,Intermediate,Math,Inglés,Inglés,2–4 hours per week,7 Weeks,49
660,ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,16028,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Social Sciences,Español,"Inglés, Español",3–4 hours per week,6 Weeks,25
661,Achieving Product-Market Fit,0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,Inglés,Inglés,2–3 hours per week,4 Weeks,199
662,Culture and Law: The East Asian Perspective,0,Self-paced on your time,Waseda University,Introductory,Social Sciences,Inglés,Inglés,4–6 hours per week,3 Weeks,49
663,Fundamentals of Market Structure,32049,Self-paced on your time,NYIF,Introductory,Economics & Finance,Inglés,Inglés,1–2 hours per week,1 Weeks,25
664,Protecting Children in Humanitarian Settings,7246,Self-paced on your time,Columbia University,Intermediate,Social Sciences,Inglés,Inglés,3–5 hours per week,12 Weeks,50
665,How to Achieve the Sustainable Development Goals,12719,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,Inglés,"Inglés, Русский",4–6 hours per week,7 Weeks,49
